,0
498,0.20209958
499,0.18381286
500,-0.809076
501,-0.8586778
502,-0.25074208
503,-0.8161546
504,-0.20956194
505,-0.049278647
506,-0.5237446
507,-0.5681752
508,0.10526301
509,-0.15733719
510,-0.14371721
511,-0.34758726
512,0.39609355
513,0.23283915
514,0.48637617
515,0.37020117
516,0.0785532
517,1.2621021
518,0.20906906
519,-0.4198649
520,-0.3448785
521,0.25530648
522,0.28093374
523,-0.19019425
524,-0.22446352
525,-0.08118501
526,0.23157369
527,-0.68154293
528,0.13134831
529,0.0013917864
530,-1.1014487
531,-1.0778284
532,-0.4780071
533,-1.1748387
534,-0.10064965
535,-0.32301852
536,-0.16937912
537,0.40973216
538,-0.17432009
539,-0.39959252
540,0.80274683
541,0.36708722
542,0.22245422
543,0.78644377
544,0.008181082
545,-0.058293972
546,0.24949871
547,-0.059810255
548,-0.020339753
549,-0.66958845
550,0.17434566
551,0.56609005
552,0.023705257
553,-0.22865123
554,0.60962874
555,-0.22005834
556,-0.16045307
557,0.27891687
558,0.23151478
559,0.035458878
560,0.2687262
561,0.56395596
562,0.04020619
563,0.13634993
564,0.8755454
565,-0.25298026
566,-0.33259553
567,0.8068327
568,0.13513651
569,0.098887734
570,0.33581516
571,-0.33297887
572,-0.1512635
573,0.5319325
574,-0.22090277
575,-0.57287586
576,-0.2802577
577,0.15779655
578,0.25655478
579,-0.40285304
580,0.604293
581,-0.9542101
582,0.09025951
583,0.049865548
584,0.6310518
585,-0.47832033
586,-0.058866255
587,0.21396483
588,0.7555078
589,-0.3597929
590,0.4150429
591,-0.04268464
592,0.16888997
593,-0.29926044
594,0.41954988
595,0.5948404
596,0.22791632
597,-0.84060645
598,0.73671734
599,1.2105047
600,0.77498186
601,0.08776752
602,0.36251825
603,0.14727162
604,0.25339466
605,-0.11143484
606,0.17182164
607,-0.5070854
608,-0.48340055
609,0.6325264
610,0.6524415
611,-0.059311103
612,0.08767179
613,-0.6728453
614,0.20177607
615,-0.23760253
616,0.037988324
617,-0.016213056
618,-0.35541508
619,-0.064626195
620,0.3448908
621,1.2013353
622,0.19019087
623,0.6881316
624,-0.48195466
625,0.5179795
626,-0.40323135
627,-0.13721392
628,0.34409264
629,-0.2939603
630,-0.70602703
631,-0.482666
632,0.8417212
633,0.81226826
634,0.6367091
635,0.14544034
636,-0.34801483
637,-0.395575
638,0.03608196
639,-0.28394663
640,0.2164492
641,-0.05010779
642,0.17812963
643,-0.025686657
644,0.4953747
645,-0.45368436
646,-0.18628974
647,0.081598826
648,-0.2755058
649,-1.109332
650,-0.18925738
